hostname_length,path_length,double_slash_in_path,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label_encoded
72,46,0,0,10,2,0,0,27,4.735532889151262,-1,-999,0,0,0,0,0,0,0,1
14,86,0,0,1,1,0,1,0,4.499599717296039,-1,-999,0,0,0,0,0,0,0,1
16,14,0,0,0,0,0,1,0,4.2398776093876736,-1,-999,0,0,0,0,0,0,0,1
16,204,0,0,0,2,0,1,20,4.909773386145191,-1,-999,0,0,0,0,0,0,0,1
11,8,0,0,0,0,0,0,2,4.074875775583769,-1,87,0,0,0,0,0,0,0,1
16,29,0,0,0,0,0,0,0,4.082879450093886,-1,-999,0,0,0,0,0,0,0,1
25,205,0,0,1,2,0,2,70,5.3114434646053255,-1,-999,0,0,0,0,0,0,0,1
25,177,0,0,1,2,0,2,23,4.635382513247233,-1,-999,0,0,0,0,0,0,0,1
8,149,0,0,0,2,0,0,6,4.8940957274651575,-1,-999,0,0,0,0,0,0,0,1
119,34,0,0,9,2,0,2,56,4.892132272163859,-1,-999,0,0,0,0,0,0,0,1
111,24,0,0,10,3,0,0,27,4.677558735448955,-1,-999,0,0,0,0,0,0,0,1
111,1,0,0,10,2,0,0,25,4.626621774852937,-1,-999,0,0,0,0,0,0,0,1
19,14,0,0,0,0,0,0,0,4.103701696057349,-1,-999,0,0,0,0,0,0,0,1
130,29,0,0,10,4,0,4,27,4.784050077458297,-1,-999,0,0,0,0,0,0,0,1
13,30,0,0,0,0,0,1,0,4.248367439558378,-1,-999,0,0,0,0,0,0,0,1
16,81,0,0,1,0,0,0,2,4.667283056713768,-1,-999,0,0,0,0,0,0,0,1
130,33,0,0,10,4,0,4,27,4.81686589428397,-1,-999,0,0,0,0,0,0,0,1
130,30,0,0,10,4,0,4,29,4.812120199007018,-1,-999,0,0,0,0,0,0,0,1
23,80,0,0,1,2,0,0,26,4.806607619895032,-1,-999,0,0,0,0,0,0,0,1
23,104,0,0,1,3,0,0,29,4.8192171324726285,-1,-999,0,0,0,0,0,0,0,1
13,22,0,0,0,1,0,0,0,4.252453066090017,-1,29,0,0,0,0,0,0,0,1
23,12,0,0,1,0,0,0,0,4.044003363657554,-1,163,0,0,0,0,0,0,0,1
19,172,0,0,1,1,0,0,83,4.784453772845701,-1,51,0,2,0,8,0,0,0,1
11,8,0,0,0,0,0,0,0,4.103909910282364,-1,87,0,0,0,0,0,0,0,1
29,70,0,0,4,2,0,1,1,4.5686289084006,-1,-999,0,0,0,0,0,0,0,1
50,186,0,0,4,2,0,1,122,4.723788071764969,-1,-999,0,0,0,0,0,0,0,1
50,43,0,0,4,2,0,1,33,4.753367880694703,-1,-999,0,0,0,0,0,0,0,1
29,82,0,0,4,2,0,1,1,4.581001346222241,-1,-999,0,0,0,0,0,0,0,1
41,1,0,0,1,0,0,0,6,3.7699660842652563,-1,-999,0,0,0,0,0,0,0,1
18,184,0,0,1,1,0,0,83,4.7902064631874435,-1,-999,0,0,0,0,0,0,0,1
23,38,0,0,1,0,0,0,0,4.113640642946049,-1,-999,0,0,0,0,0,0,0,1
14,98,0,0,1,1,0,1,0,4.448312614348044,-1,-999,0,0,0,0,0,0,0,1
116,12,0,0,10,2,0,1,45,4.791507472212393,-1,-999,0,0,0,0,0,0,0,1
15,32,1,0,0,0,0,0,0,4.3449066598038835,-1,-999,0,0,0,0,0,0,0,1
30,86,0,0,1,1,0,0,3,4.431879119775903,-1,42,0,0,0,3,0,0,0,1
13,110,0,0,0,5,0,1,0,4.58222583907364,-1,-999,0,0,0,0,0,0,0,1
23,43,0,0,1,2,0,0,1,4.335382656588308,-1,163,0,0,0,0,0,0,0,1
13,195,0,0,1,0,0,1,76,4.908012752417285,-1,-999,0,0,0,0,0,0,0,1
22,6,0,0,1,1,0,0,0,3.9572958738405704,-1,-999,0,0,0,0,0,0,0,1
125,1,0,0,11,2,0,3,32,4.875262255820112,-1,-999,0,0,0,0,0,0,0,1
170,8,0,0,10,2,0,1,95,4.488504258484105,-1,-999,0,0,0,0,0,0,0,1
234,235,0,0,12,3,0,1,162,4.616897017034831,-1,-999,0,0,0,0,0,0,0,1
23,113,0,0,1,3,0,0,29,4.85134572718171,-1,-999,0,0,0,0,0,0,0,1
16,11,0,0,1,0,0,0,5,3.9764499732851237,-1,-999,0,0,0,0,0,0,0,1
12,45,0,0,0,1,0,0,20,4.684674852072124,-1,34,0,2,0,12,0,0,0,1
22,119,0,0,0,2,0,0,40,5.069794272029665,-1,-999,0,0,0,0,0,0,0,1
17,44,0,0,0,1,0,0,0,4.336939864196554,-1,-999,0,0,0,0,0,0,0,1
17,80,0,0,1,1,1,0,3,4.4919708205088655,-1,73,0,4,0,52,0,0,0,1
111,32,0,0,10,3,0,0,26,4.6976512748341435,-1,-999,0,0,0,0,0,0,0,1
21,37,0,0,1,0,0,1,6,4.523507475101984,-1,-999,0,0,0,0,0,0,0,1
19,37,0,0,1,0,0,0,0,4.234320203296355,-1,-999,0,0,0,0,0,0,0,1
26,185,0,0,0,1,0,0,85,4.886577665877311,-1,-999,0,0,0,0,0,0,0,1
12,43,0,0,0,1,0,0,18,4.6270886501047155,-1,34,0,2,0,12,0,0,0,1
16,12,0,0,1,0,0,0,5,3.946880788794848,-1,-999,0,0,0,0,0,0,0,1
9,164,0,0,0,4,0,0,43,5.042967782453188,-1,-999,0,0,0,0,0,0,0,1
12,34,0,0,0,0,0,0,18,4.477341682157654,-1,34,0,2,0,12,0,0,0,1
15,63,0,0,1,0,0,0,3,5.0867256910272385,-1,62,0,0,0,0,0,0,0,1
21,50,0,0,1,1,0,0,0,4.260962118311809,-1,-999,0,0,0,0,0,0,0,1
13,38,0,0,0,2,0,0,0,4.4953808217014295,-1,33,0,4,0,26,0,0,0,1
21,49,0,0,1,1,0,0,0,4.27307266644333,-1,-999,0,0,0,0,0,0,0,1
11,113,0,0,0,0,0,0,56,4.96543096811186,-1,57,0,4,0,151,0,0,0,1
22,22,0,0,2,0,0,0,3,4.5227449266211766,-1,-999,0,0,0,0,0,0,0,1
12,23,0,0,0,0,0,0,0,3.9191197327566836,-1,34,0,2,0,12,0,0,0,1
9,84,0,0,0,1,0,0,12,4.63518045951398,-1,72,0,0,0,0,0,0,0,1
23,17,0,0,1,0,0,0,5,4.407268229617389,-1,-999,0,0,0,0,0,0,0,1
23,53,0,0,1,1,0,0,0,4.032264724797316,-1,-999,0,0,0,0,0,0,0,1
13,174,0,0,0,1,0,0,87,4.83785670702147,-1,-999,0,0,0,0,0,0,0,1
9,48,0,0,0,1,0,0,12,4.85099911322203,-1,72,0,0,0,0,0,0,0,1
13,178,0,0,0,1,0,0,87,4.861818998436086,-1,-999,0,0,0,0,0,0,0,1
21,34,0,0,2,2,0,1,0,4.292332400069821,-1,-999,0,0,0,0,0,0,0,1
50,186,0,0,4,2,0,1,117,4.73388358217965,-1,-999,0,0,0,0,0,0,0,1
27,115,0,0,1,1,0,0,33,5.662771214109708,-1,-999,0,0,0,0,0,0,0,1
23,68,0,0,0,2,0,0,2,4.650253089703344,-1,-999,0,0,0,0,0,0,0,1
50,186,0,0,4,2,0,1,125,4.7421827514890476,-1,-999,0,0,0,0,0,0,0,1
50,10,0,0,4,2,0,1,14,4.4935780496176045,-1,-999,0,0,0,0,0,0,0,1
50,160,0,0,4,3,0,1,103,4.821750322447892,-1,-999,0,0,0,0,0,0,0,1
12,20,0,0,0,0,0,0,0,3.7914365135676227,-1,43,0,1,0,5,0,0,0,1
24,24,0,0,2,0,0,0,5,4.424465341104829,-1,-999,0,0,0,0,0,0,0,1
15,34,0,0,0,0,0,0,0,4.296944838346589,-1,232,0,0,0,0,0,0,0,1
19,68,0,0,1,2,0,1,0,4.504654787954855,-1,-999,0,0,0,0,0,0,0,1
22,138,0,0,0,5,0,0,0,4.607073557328154,-1,86,0,0,2,12,0,0,1,1
12,217,0,0,0,1,0,0,79,4.949786896930558,-1,67,0,2,0,8,0,0,0,1
50,15,0,0,4,2,0,1,15,4.455453690383645,-1,-999,0,0,0,0,0,0,0,1
50,17,0,0,4,3,0,1,14,4.56725007545771,-1,-999,0,0,0,0,0,0,0,1
50,43,0,0,4,2,0,1,36,4.703821696270871,-1,-999,0,0,0,0,0,0,0,1
69,46,0,0,10,2,0,0,28,4.727490843902594,-1,-999,0,0,0,0,0,0,0,1
69,46,0,0,10,2,0,0,31,4.776882905779339,-1,-999,0,0,0,0,0,0,0,1
24,178,0,0,3,2,0,0,11,5.141757434399895,-1,-999,0,0,0,0,0,0,0,1
50,186,0,0,4,2,0,1,109,4.733794919140973,-1,-999,0,0,0,0,0,0,0,1
19,65,0,0,1,2,0,1,0,4.526780945839015,-1,-999,0,0,0,0,0,0,0,1
16,48,0,0,1,1,0,0,12,4.833274571476653,-1,-999,0,0,0,0,0,0,0,1
19,69,0,0,1,2,0,1,0,4.541274188890647,-1,-999,0,0,0,0,0,0,0,1
21,48,0,0,1,1,0,1,12,4.96971767081273,-1,-999,0,0,0,0,0,0,0,1
19,58,0,0,1,3,0,0,0,4.503164102027721,-1,-999,0,0,0,1,0,0,0,1
24,158,0,0,3,2,0,0,11,5.170147363535829,-1,-999,0,0,0,0,0,0,0,1
21,1,0,0,2,0,0,0,0,3.9523029776623857,-1,-999,0,0,0,0,0,0,0,1
19,59,0,0,0,0,0,0,3,4.319217372340666,-1,-999,0,0,0,1,0,0,0,1
9,48,0,0,0,1,0,0,12,4.837451659049164,-1,61,0,0,0,0,0,0,0,1
