hostname_length,path_length,double_slash_in_path,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label_encoded
234,235,0,0,12,3,0,1,162,4.616897017034831,-1,-999,0,0,0,0,0,0,0,1
22,119,0,0,0,2,0,0,40,5.069794272029665,-1,-999,0,0,0,0,0,0,0,1
17,44,0,0,0,1,0,0,0,4.336939864196554,-1,-999,0,0,0,0,0,0,0,1
16,11,0,0,1,0,0,0,5,3.9764499732851237,-1,-999,0,0,0,0,0,0,0,1
19,37,0,0,1,0,0,0,0,4.234320203296355,-1,-999,0,0,0,0,0,0,0,1
21,50,0,0,1,1,0,0,0,4.260962118311809,-1,-999,0,0,0,0,0,0,0,1
22,22,0,0,2,0,0,0,3,4.5227449266211766,-1,-999,0,0,0,0,0,0,0,1
21,49,0,0,1,1,0,0,0,4.27307266644333,-1,-999,0,0,0,0,0,0,0,1
13,38,0,0,0,2,0,0,0,4.4953808217014295,-1,-999,0,4,0,26,0,0,0,1
12,23,0,0,0,0,0,0,0,3.9191197327566836,-1,-999,0,2,0,12,0,0,0,1
9,164,0,0,0,4,0,0,43,5.042967782453188,-1,-999,0,0,0,0,0,0,0,1
23,17,0,0,1,0,0,0,5,4.407268229617389,-1,-999,0,0,0,0,0,0,0,1
12,34,0,0,0,0,0,0,18,4.477341682157654,-1,-999,0,2,0,12,0,0,0,1
13,174,0,0,0,1,0,0,87,4.83785670702147,-1,-999,0,0,0,0,0,0,0,1
15,63,0,0,1,0,0,0,3,5.0867256910272385,-1,-999,0,0,0,0,0,0,0,1
23,53,0,0,1,1,0,0,0,4.032264724797316,-1,-999,0,0,0,0,0,0,0,1
13,178,0,0,0,1,0,0,87,4.861818998436086,-1,-999,0,0,0,0,0,0,0,1
11,113,0,0,0,0,0,0,56,4.96543096811186,-1,-999,0,4,0,151,0,0,0,1
9,84,0,0,0,1,0,0,12,4.63518045951398,-1,-999,0,0,0,0,0,0,0,1
9,48,0,0,0,1,0,0,12,4.85099911322203,-1,-999,0,0,0,0,0,0,0,1
21,34,0,0,2,2,0,1,0,4.292332400069821,-1,-999,0,0,0,0,0,0,0,1
15,34,0,0,0,0,0,0,0,4.296944838346589,-1,-999,0,0,0,0,0,0,0,1
22,138,0,0,0,5,0,0,0,4.607073557328154,-1,-999,0,0,2,12,0,0,1,1
50,186,0,0,4,2,0,1,117,4.73388358217965,-1,-999,0,0,0,0,0,0,0,1
24,24,0,0,2,0,0,0,5,4.424465341104829,-1,-999,0,0,0,0,0,0,0,1
50,17,0,0,4,3,0,1,14,4.56725007545771,-1,-999,0,0,0,0,0,0,0,1
27,115,0,0,1,1,0,0,33,5.662771214109708,-1,-999,0,0,0,0,0,0,0,1
50,186,0,0,4,2,0,1,109,4.733794919140973,-1,-999,0,0,0,0,0,0,0,1
50,186,0,0,4,2,0,1,125,4.7421827514890476,-1,-999,0,0,0,0,0,0,0,1
50,10,0,0,4,2,0,1,14,4.4935780496176045,-1,-999,0,0,0,0,0,0,0,1
50,43,0,0,4,2,0,1,36,4.703821696270871,-1,-999,0,0,0,0,0,0,0,1
19,68,0,0,1,2,0,1,0,4.504654787954855,-1,-999,0,0,0,0,0,0,0,1
50,160,0,0,4,3,0,1,103,4.821750322447892,-1,-999,0,0,0,0,0,0,0,1
23,68,0,0,0,2,0,0,2,4.650253089703344,-1,-999,0,0,0,0,0,0,0,1
12,20,0,0,0,0,0,0,0,3.7914365135676227,-1,-999,0,1,0,5,0,0,0,1
50,15,0,0,4,2,0,1,15,4.455453690383645,-1,-999,0,0,0,0,0,0,0,1
19,69,0,0,1,2,0,1,0,4.541274188890647,-1,-999,0,0,0,0,0,0,0,1
69,46,0,0,10,2,0,0,28,4.727490843902594,-1,-999,0,0,0,0,0,0,0,1
